Q,A
가평군장애인복지관의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 가평군 가평읍 석봉로191번길 65-19이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
설악현무도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 가평군 설악면 자잠로 28-8이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
해바라기아동교육센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기 고양시 덕양구 호국로777(대근빌딩)이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최하며, 가격은 110000원 입니다."
메이너스재활운동센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 덕양구 권율대로 690이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10)월에 개최하며, 가격은 110000원 입니다."
태극타이거합기도의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 덕양구 동세로 9이며, 해당 강좌는 주로 (6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
코지휘트니스의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 덕양구 삼송로 8이며, 해당 강좌는 주로 (4, 5, 6, 7, 8)월에 개최하며, 가격은 10000원 입니다."
코지휘트니스의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 덕양구 삼송로 8이며, 해당 강좌는 주로 (3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 100000원 입니다."
고양시덕양행신장애인주간보호센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 덕양구 서정마을2로 13이며, 해당 강좌는 주로 (6, 7)월에 개최하며, 가격은 105000원 입니다."
고양시덕양행신장애인주간보호센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 덕양구 서정마을2로 13이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 7)월에 개최하며, 가격은 120000원 입니다."
국가대표참태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 덕양구 소원로 270이며, 해당 강좌는 주로 (7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
사랑가득합기도의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 덕양구 신원로 32이며, 해당 강좌는 주로 (3, 4, 5, 7, 8)월에 개최하며, 가격은 110000원 입니다."
어울림탁구장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 덕양구 원당로33번길 11이며, 해당 강좌는 주로 (2, 3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
맨투맨운동장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 덕양구 중앙로 559이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7)월에 개최하며, 가격은 110000원 입니다."
골프존파크 행신리스톤점의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 덕양구 중앙로 605이며, 해당 강좌는 주로 (2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
길현탁구장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 덕양구 중앙로64번길 38이며, 해당 강좌는 주로 (2, 3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
점프스토리의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 덕양구 지도로104번길 10이며, 해당 강좌는 주로 (5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
(주)아티스 필라테스의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 덕양구 지축로 62이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
상록키즈태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 덕양구 토당로104번길 8이며, 해당 강좌는 주로 (6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
임팩트 탁구클럽의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 덕양구 혜음로 45이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7)월에 개최하며, 가격은 110000원 입니다."
성라태권도의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 덕양구 호국로742번길 34이며, 해당 강좌는 주로 (5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
함성의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 덕양구 호원길 3-2이며, 해당 강좌는 주로 (3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 190000원 입니다."
박재현재활운동센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 덕양구 화신로 263이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최하며, 가격은 130000원 입니다."
설렘필라테스의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 덕양구 화중로 72이며, 해당 강좌는 주로 (1, 6, 7, 9)월에 개최하며, 가격은 110000원 입니다."
설렘필라테스화정점의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 덕양구 화중로 72이며, 해당 강좌는 주로 (1, 6, 7, 9)월에 개최하며, 가격은 110000원 입니다."
아가페고양시발달장애인주간방과후활동서비스제공기관의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 일산동구 숲속마을로 207이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
네오짐의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 일산동구 약산길 2이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최하며, 가격은 110000원 입니다."
프라임핏(식사점)의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 일산동구 위시티1로 6-39이며, 해당 강좌는 주로 (1, 6, 7, 8, 9, 10)월에 개최하며, 가격은 110000원 입니다."
국가대표휘트니스태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 일산동구 일산로 328이며, 해당 강좌는 주로 (6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
드림에듀지점의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 일산동구 중산로 234이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최하며, 가격은 110000원 입니다."
벨린필라테스의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 일산동구 중산로 63이며, 해당 강좌는 주로 (5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
어울림심리운동발달센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 일산동구 중앙로 1047이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7)월에 개최하며, 가격은 110000원 입니다."
미소바른센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 일산동구 중앙로 1160이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최하며, 가격은 110000원 입니다."
SNPE일산역점의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 일산서구 고양대로 676이며, 해당 강좌는 주로 (7, 8, 9, 10)월에 개최하며, 가격은 110000원 입니다."
