정보,위치주소,시설이름,우편번호,주소,종목명,상세종목,가격,월,개최월,년도
"경기 가평군에 있는 체육시설의 상세 주소는 경기도 가평군 가평읍 석봉로191번길 65-19 가평군장애인복지관으로, 우편번호가 12414이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 건강한 몸 만들기이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 가평군,가평군장애인복지관,12414,경기도 가평군 가평읍 석봉로191번길 65-19,헬스,건강한 몸 만들기,110000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9)",2024
"경기 가평군에 있는 체육시설의 상세 주소는 경기도 가평군 설악면 자잠로 28-8 설악현무도장으로, 우편번호가 12465이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 태권도이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 가평군,설악현무도장,12465,경기도 가평군 설악면 자잠로 28-8,태권도,태권도,110000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기 고양시 덕양구 호국로777(대근빌딩) 해바라기아동교육센터으로, 우편번호가 10461이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 줄넘기이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,해바라기아동교육센터,10461,경기 고양시 덕양구 호국로777(대근빌딩),기타종목,줄넘기,110000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 덕양구 권율대로 690 메이너스재활운동센터으로, 우편번호가 10558이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 1:1 장애인재활운동 (100% 예약제)이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,메이너스재활운동센터,10558,경기도 고양시 덕양구 권율대로 690,기타종목,1:1 장애인재활운동 (100% 예약제),110000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 덕양구 동세로 9 태극타이거합기도으로, 우편번호가 10598이고, 이용 가능한 종목은 합기도입니다. 제공하는 강좌의 강좌명은 합기도이며, 강좌는 (6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,태극타이거합기도,10598,경기도 고양시 덕양구 동세로 9,합기도,합기도,110000,7,"(6, 7, 8, 9)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 덕양구 삼송로 8 코지휘트니스으로, 우편번호가 10564이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 락커 1개월이며, 강좌는 (4, 5, 6, 7, 8)월에 개최되며, 가격은 10000원입니다. ",경기 고양시,코지휘트니스,10564,경기도 고양시 덕양구 삼송로 8,헬스,락커 1개월,10000,7,"(4, 5, 6, 7, 8)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 덕양구 삼송로 8 코지휘트니스으로, 우편번호가 10564이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 헬스 1개월이며, 강좌는 (3, 4, 5, 6, 7, 8)월에 개최되며, 가격은 100000원입니다. ",경기 고양시,코지휘트니스,10564,경기도 고양시 덕양구 삼송로 8,헬스,헬스 1개월,100000,7,"(3, 4, 5, 6, 7, 8)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 덕양구 서정마을2로 13 고양시덕양행신장애인주간보호센터으로, 우편번호가 10486이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 방과후 체육교실(16) - 뉴스포츠이며, 강좌는 (6, 7)월에 개최되며, 가격은 105000원입니다. ",경기 고양시,고양시덕양행신장애인주간보호센터,10486,경기도 고양시 덕양구 서정마을2로 13,기타종목,방과후 체육교실(16) - 뉴스포츠,105000,7,"(6, 7)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 덕양구 서정마을2로 13 고양시덕양행신장애인주간보호센터으로, 우편번호가 10486이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 방과후 체육교실(17) - 뉴스포츠이며, 강좌는 (1, 2, 3, 4, 5, 7)월에 개최되며, 가격은 120000원입니다. ",경기 고양시,고양시덕양행신장애인주간보호센터,10486,경기도 고양시 덕양구 서정마을2로 13,기타종목,방과후 체육교실(17) - 뉴스포츠,120000,7,"(1, 2, 3, 4, 5, 7)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 덕양구 소원로 270 국가대표참태권도장으로, 우편번호가 10535이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 태권도, 뉴스포츠이며, 강좌는 (7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,국가대표참태권도장,10535,경기도 고양시 덕양구 소원로 270,태권도,"태권도, 뉴스포츠",110000,7,"(7, 8, 9)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 덕양구 신원로 32 사랑가득합기도으로, 우편번호가 10568이고, 이용 가능한 종목은 합기도입니다. 제공하는 강좌의 강좌명은 합기도이며, 강좌는 (3, 4, 5, 7, 8)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,사랑가득합기도,10568,경기도 고양시 덕양구 신원로 32,합기도,합기도,110000,7,"(3, 4, 5, 7, 8)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 덕양구 원당로33번길 11 어울림탁구장으로, 우편번호가 10460이고, 이용 가능한 종목은 탁구입니다. 제공하는 강좌의 강좌명은 생활탁구(기초반)이며, 강좌는 (2, 3, 4, 5, 6, 7, 8)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,어울림탁구장,10460,경기도 고양시 덕양구 원당로33번길 11,탁구,생활탁구(기초반),110000,7,"(2, 3, 4, 5, 6, 7, 8)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 덕양구 중앙로 559 맨투맨운동장으로, 우편번호가 10518이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 재활운동(일요일, 13:00~14:00)이며, 강좌는 (1, 2, 3, 4, 5, 6, 7)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,맨투맨운동장,10518,경기도 고양시 덕양구 중앙로 559,헬스,"재활운동(일요일, 13:00~14:00)",110000,7,"(1, 2, 3, 4, 5, 6, 7)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 덕양구 중앙로 605 골프존파크 행신리스톤점으로, 우편번호가 10512이고, 이용 가능한 종목은 골프입니다. 제공하는 강좌의 강좌명은 스크린 골프이며, 강좌는 (2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,골프존파크 행신리스톤점,10512,경기도 고양시 덕양구 중앙로 605,골프,스크린 골프,110000,7,"(2, 3, 4, 5, 6, 7, 8, 9)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 덕양구 중앙로64번길 38 길현탁구장으로, 우편번호가 10538이고, 이용 가능한 종목은 탁구입니다. 제공하는 강좌의 강좌명은 탁구 레슨 + 자율운동이며, 강좌는 (2, 3, 4, 5, 6, 7, 8)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,길현탁구장,10538,경기도 고양시 덕양구 중앙로64번길 38,탁구,탁구 레슨 + 자율운동,110000,7,"(2, 3, 4, 5, 6, 7, 8)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 덕양구 지도로104번길 10 점프스토리으로, 우편번호가 10511이고, 이용 가능한 종목은 줄넘기입니다. 제공하는 강좌의 강좌명은 줄넘기이며, 강좌는 (5, 6, 7, 8)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,점프스토리,10511,경기도 고양시 덕양구 지도로104번길 10,줄넘기,줄넘기,110000,7,"(5, 6, 7, 8)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 덕양구 지축로 62 (주)아티스 필라테스으로, 우편번호가 10585이고, 이용 가능한 종목은 필라테스입니다. 제공하는 강좌의 강좌명은 필라테스이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,(주)아티스 필라테스,10585,경기도 고양시 덕양구 지축로 62,필라테스,필라테스,110000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 덕양구 토당로104번길 8 상록키즈태권도장으로, 우편번호가 10508이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 상록키즈태권도,1관이며, 강좌는 (6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,상록키즈태권도장,10508,경기도 고양시 덕양구 토당로104번길 8,태권도,"상록키즈태권도,1관",110000,7,"(6, 7, 8, 9)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 덕양구 혜음로 45 임팩트 탁구클럽으로, 우편번호가 10274이고, 이용 가능한 종목은 탁구입니다. 제공하는 강좌의 강좌명은 탁구레슨이며, 강좌는 (1, 2, 3, 4, 5, 6, 7)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,임팩트 탁구클럽,10274,경기도 고양시 덕양구 혜음로 45,탁구,탁구레슨,110000,7,"(1, 2, 3, 4, 5, 6, 7)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 덕양구 호국로742번길 34 성라태권도으로, 우편번호가 10469이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 태ㅤㅂㅝㄴ도이며, 강좌는 (5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,성라태권도,10469,경기도 고양시 덕양구 호국로742번길 34,태권도,태ㅤㅂㅝㄴ도,110000,7,"(5, 6, 7, 8, 9)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 덕양구 호원길 3-2 함성으로, 우편번호가 10541이고, 이용 가능한 종목은 축구(풋살)입니다. 제공하는 강좌의 강좌명은 함성FC 축구교실이며, 강좌는 (3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 190000원입니다. ",경기 고양시,함성,10541,경기도 고양시 덕양구 호원길 3-2,축구(풋살),함성FC 축구교실,190000,7,"(3, 4, 5, 6, 7, 8, 9)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 덕양구 화신로 263 박재현재활운동센터으로, 우편번호가 10503이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 1:1장애인재활운동(고양점)(55분)이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최되며, 가격은 130000원입니다. ",경기 고양시,박재현재활운동센터,10503,경기도 고양시 덕양구 화신로 263,기타종목,1:1장애인재활운동(고양점)(55분),130000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 덕양구 화중로 72 설렘필라테스으로, 우편번호가 10500이고, 이용 가능한 종목은 필라테스입니다. 제공하는 강좌의 강좌명은 1:6 기구필라테스 6회이며, 강좌는 (1, 6, 7, 9)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,설렘필라테스,10500,경기도 고양시 덕양구 화중로 72,필라테스,1:6 기구필라테스 6회,110000,7,"(1, 6, 7, 9)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 덕양구 화중로 72 설렘필라테스화정점으로, 우편번호가 10500이고, 이용 가능한 종목은 필라테스입니다. 제공하는 강좌의 강좌명은 1:6 기구필라테스 6회이며, 강좌는 (1, 6, 7, 9)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,설렘필라테스화정점,10500,경기도 고양시 덕양구 화중로 72,필라테스,1:6 기구필라테스 6회,110000,7,"(1, 6, 7, 9)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 일산동구 숲속마을로 207 아가페고양시발달장애인주간방과후활동서비스제공기관으로, 우편번호가 10303이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 헬스이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,아가페고양시발달장애인주간방과후활동서비스제공기관,10303,경기도 고양시 일산동구 숲속마을로 207,헬스,헬스,110000,7,"(1, 2, 3, 4, 5, 6, 7, 8)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 일산동구 약산길 2 네오짐으로, 우편번호가 10319이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 운동재활이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,네오짐,10319,경기도 고양시 일산동구 약산길 2,기타종목,운동재활,110000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 일산동구 위시티1로 6-39 프라임핏(식사점)으로, 우편번호가 10324이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 헬스1개월이며, 강좌는 (1, 6, 7, 8, 9, 10)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,프라임핏(식사점),10324,경기도 고양시 일산동구 위시티1로 6-39,헬스,헬스1개월,110000,7,"(1, 6, 7, 8, 9, 10)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 일산동구 일산로 328 국가대표휘트니스태권도장으로, 우편번호가 10407이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 태권도를 통한 건강관리이며, 강좌는 (6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,국가대표휘트니스태권도장,10407,경기도 고양시 일산동구 일산로 328,태권도,태권도를 통한 건강관리,110000,7,"(6, 7, 8, 9)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 일산동구 중산로 234 드림에듀지점으로, 우편번호가 10333이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 개별/그룹 PT이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,드림에듀지점,10333,경기도 고양시 일산동구 중산로 234,헬스,개별/그룹 PT,110000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 일산동구 중산로 63 벨린필라테스으로, 우편번호가 10355이고, 이용 가능한 종목은 필라테스입니다. 제공하는 강좌의 강좌명은 벨린필라테스이며, 강좌는 (5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,벨린필라테스,10355,경기도 고양시 일산동구 중산로 63,필라테스,벨린필라테스,110000,7,"(5, 6, 7, 8, 9)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 일산동구 중앙로 1047 어울림심리운동발달센터으로, 우편번호가 10447이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 특수체육이며, 강좌는 (1, 2, 3, 4, 5, 6, 7)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,어울림심리운동발달센터,10447,경기도 고양시 일산동구 중앙로 1047,기타종목,특수체육,110000,7,"(1, 2, 3, 4, 5, 6, 7)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 일산동구 중앙로 1160 미소바른센터으로, 우편번호가 10414이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 1:1 장애인 재활운동이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,미소바른센터,10414,경기도 고양시 일산동구 중앙로 1160,기타종목,1:1 장애인 재활운동,110000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 일산서구 고양대로 676 SNPE일산역점으로, 우편번호가 10353이고, 이용 가능한 종목은 요가입니다. 제공하는 강좌의 강좌명은 SNPE이며, 강좌는 (7, 8, 9, 10)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,SNPE일산역점,10353,경기도 고양시 일산서구 고양대로 676,요가,SNPE,110000,7,"(7, 8, 9, 10)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 일산서구 대산로 356 훼밀리파크으로, 우편번호가 10226이고, 이용 가능한 종목은 골프입니다. 제공하는 강좌의 강좌명은 파크골프 레슨이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,훼밀리파크,10226,경기도 고양시 일산서구 대산로 356,골프,파크골프 레슨,110000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 일산서구 대산로 58 청우태권도장으로, 우편번호가 10360이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 태권도 초등부이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,청우태권도장,10360,경기도 고양시 일산서구 대산로 58,태권도,태권도 초등부,110000,7,"(1, 2, 3, 4, 5, 6, 7, 8)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 일산서구 주화로 88 뉴힐링라이프재활운동센터 일산점으로, 우편번호가 10387이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 장애인재활운동(헬스케어)이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,뉴힐링라이프재활운동센터 일산점,10387,경기도 고양시 일산서구 주화로 88,기타종목,장애인재활운동(헬스케어),110000,7,"(1, 2, 3, 4, 5, 6, 7, 8)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 일산서구 중앙로 1576 수케어으로, 우편번호가 10381이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 장애인 맞춤형 재활운동이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,수케어,10381,경기도 고양시 일산서구 중앙로 1576,기타종목,장애인 맞춤형 재활운동,110000,7,"(1, 2, 3, 4, 5, 6, 7, 8)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 일산서구 탄현로 120 다짐필라테스탄현점으로, 우편번호가 10248이고, 이용 가능한 종목은 필라테스입니다. 제공하는 강좌의 강좌명은 6:1그룹레슨이며, 강좌는 (5, 6, 7, 8, 9, 10)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,다짐필라테스탄현점,10248,경기도 고양시 일산서구 탄현로 120,필라테스,6:1그룹레슨,110000,7,"(5, 6, 7, 8, 9, 10)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 일산서구 호수로 898 로사라인댄스예술회으로, 우편번호가 10382이고, 이용 가능한 종목은 댄스(줌바 등)입니다. 제공하는 강좌의 강좌명은 댄스와 노래 수업이며, 강좌는 (5, 6, 7)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,로사라인댄스예술회,10382,경기도 고양시 일산서구 호수로 898,댄스(줌바 등),댄스와 노래 수업,110000,7,"(5, 6, 7)",2024
"경기 고양시에 있는 체육시설의 상세 주소는 경기도 고양시 일산서구 호수로 898 로사라인댄스예술회으로, 우편번호가 10382이고, 이용 가능한 종목은 댄스(줌바 등)입니다. 제공하는 강좌의 강좌명은 댄스와 함께 노래도 하는 즐거운 수업이며, 강좌는 (1, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 고양시,로사라인댄스예술회,10382,경기도 고양시 일산서구 호수로 898,댄스(줌바 등),댄스와 함께 노래도 하는 즐거운 수업,110000,7,"(1, 5, 6, 7, 8, 9)",2024
"경기 과천시에 있는 체육시설의 상세 주소는 경기도 과천시 매봉로 14 주식회사시드으로, 우편번호가 13825이고, 이용 가능한 종목은 축구(풋살)입니다. 제공하는 강좌의 강좌명은 김신욱축구교실 수업이며, 강좌는 (4, 5, 6, 7, 8)월에 개최되며, 가격은 110000원입니다. ",경기 과천시,주식회사시드,13825,경기도 과천시 매봉로 14,축구(풋살),김신욱축구교실 수업,110000,7,"(4, 5, 6, 7, 8)",2024
"경기 과천시에 있는 체육시설의 상세 주소는 경기도 과천시 별양로 112 코리아태권도장으로, 우편번호가 13833이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 태권도이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)월에 개최되며, 가격은 110000원입니다. ",경기 과천시,코리아태권도장,13833,경기도 과천시 별양로 112,태권도,태권도,110000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)",2024
"경기 과천시에 있는 체육시설의 상세 주소는 경기도 과천시 새술막길 38 에스에스당구장으로, 우편번호가 13807이고, 이용 가능한 종목은 당구입니다. 제공하는 강좌의 강좌명은 당구 입문(초보)/중급이며, 강좌는 (7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 과천시,에스에스당구장,13807,경기도 과천시 새술막길 38,당구,당구 입문(초보)/중급,110000,7,"(7, 8, 9)",2024
"경기 과천시에 있는 체육시설의 상세 주소는 경기도 과천시 참마을로 9 과천도시공사(과천시청소년수련관)으로, 우편번호가 13828이고, 이용 가능한 종목은 수영입니다. 제공하는 강좌의 강좌명은 곰두리(장애인) 수영이며, 강좌는 (1, 2, 4, 6, 7, 8)월에 개최되며, 가격은 30000원입니다. ",경기 과천시,과천도시공사(과천시청소년수련관),13828,경기도 과천시 참마을로 9,수영,곰두리(장애인) 수영,30000,7,"(1, 2, 4, 6, 7, 8)",2024
"경기 광명시에 있는 체육시설의 상세 주소는 경기도 광명시 광명로888번길 30 경희대석사 거룡태권도으로, 우편번호가 14266이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 태권도이며, 강좌는 (7, 8)월에 개최되며, 가격은 110000원입니다. ",경기 광명시,경희대석사 거룡태권도,14266,경기도 광명시 광명로888번길 30,태권도,태권도,110000,7,"(7, 8)",2024
